project_id,rollno,title,description,status,is_ai_generated,submission_no,created_at
76,259738,Smart Resource Management System,"This project focuses on designing a digital system that efficiently monitors, allocates, and optimizes the use of resources such as time, energy, or materials. By using data analysis and automation, the system helps reduce waste, improve productivity, and support informed decision-making.",Rejected,False,1,2026-03-10 09:46:41.440
77,259738,AI-Powered Personal Assistant Application,"This project involves developing an intelligent assistant that helps users manage daily tasks, schedules, and reminders. The application leverages artificial intelligence techniques such as natural language processing and machine learning to provide personalized suggestions and improve user efficiency.",Rejected,False,1,2026-03-10 09:46:41.440
78,259738,Online Learning and Assessment Platform,"This project aims to create a web-based platform that delivers educational content and conducts assessments online. It includes features such as user authentication, course management, quizzes, and performance tracking to enhance remote learning and evaluate student progress effectively.",Rejected,False,1,2026-03-10 09:46:41.447
79,259738,Smart Resource Management System,"This project focuses on designing a digital system that efficiently monitors, allocates, and optimizes the use of resources such as time, energy, or materials. By using data analysis and automation, the system helps reduce waste, improve productivity, and support informed decision-making.",Rejected,False,2,2026-03-10 09:47:01.747
80,259738,AI-Powered Personal Assistant Application,"This project involves developing an intelligent assistant that helps users manage daily tasks, schedules, and reminders. The application leverages artificial intelligence techniques such as natural language processing and machine learning to provide personalized suggestions and improve user efficiency.",Rejected,False,2,2026-03-10 09:47:01.797
81,259738,Online Learning and Assessment Platform,"This project aims to create a web-based platform that delivers educational content and conducts assessments online. It includes features such as user authentication, course management, quizzes, and performance tracking to enhance remote learning and evaluate student progress effectively.",Rejected,False,2,2026-03-10 09:47:01.813
82,259738,Smart Home Energy Monitoring System,"This project focuses on designing a digital system that efficiently monitors, allocates, and optimizes the use of resources such as time, energy, or materials. By using data analysis and automation, the system helps reduce waste, improve productivity, and support informed decision-making.",Rejected,False,3,2026-03-10 09:47:22.693
83,259738,IoT-Based Smart Waste Management System,"This project involves developing an intelligent assistant that helps users manage daily tasks, schedules, and reminders. The application leverages artificial intelligence techniques such as natural language processing and machine learning to provide personalized suggestions and improve user efficiency.",Rejected,False,3,2026-03-10 09:47:22.700
84,259738,Online Learning and Assessment Platform,"This project aims to create a web-based platform that delivers educational content and conducts assessments online. It includes features such as user authentication, course management, quizzes, and performance tracking to enhance remote learning and evaluate student progress effectively.",Rejected,False,3,2026-03-10 09:47:22.707
85,259738,Smart Resource Management System,"This project focuses on designing a digital system that efficiently monitors, allocates, and optimizes the use of resources such as time, energy, or materials. By using data analysis and automation, the system helps reduce waste, improve productivity, and support informed decision-making.",Rejected,False,4,2026-03-10 09:47:40.843
86,259738,AI-Powered Personal Assistant Application,"This project involves developing an intelligent assistant that helps users manage daily tasks, schedules, and reminders. The application leverages artificial intelligence techniques such as natural language processing and machine learning to provide personalized suggestions and improve user efficiency.",Rejected,False,4,2026-03-10 09:47:40.857
87,259738,Online Learning and Assessment Platform,"This project aims to create a web-based platform that delivers educational content and conducts assessments online. It includes features such as user authentication, course management, quizzes, and performance tracking to enhance remote learning and evaluate student progress effectively.",Rejected,False,4,2026-03-10 09:47:40.857
88,259738,Smart Resource Management System,"This project focuses on designing a digital system that efficiently monitors, allocates, and optimizes the use of resources such as time, energy, or materials. By using data analysis and automation, the system helps reduce waste, improve productivity, and support informed decision-making.",Rejected,False,5,2026-03-10 09:48:01.093
89,259738,AI-Powered Personal Assistant Application,"This project involves developing an intelligent assistant that helps users manage daily tasks, schedules, and reminders. The application leverages artificial intelligence techniques such as natural language processing and machine learning to provide personalized suggestions and improve user efficiency.",Rejected,False,5,2026-03-10 09:48:01.103
90,259738,Online Learning and Assessment Platform,"This project aims to create a web-based platform that delivers educational content and conducts assessments online. It includes features such as user authentication, course management, quizzes, and performance tracking to enhance remote learning and evaluate student progress effectively.",Rejected,False,5,2026-03-10 09:48:01.110
91,259738,Taxi Booking System,Ride booking application,Approved,True,6,2026-03-10 09:48:06.857
92,259740,Smart Resource Management System,"This project focuses on designing a digital system that efficiently monitors, allocates, and optimizes the use of resources such as time, energy, or materials. By using data analysis and automation, the system helps reduce waste, improve productivity, and support informed decision-making.",Approved,False,1,2026-03-10 16:49:31.530
93,259740,AI-Powered Personal Assistant Application,"This project involves developing an intelligent assistant that helps users manage daily tasks, schedules, and reminders. The application leverages artificial intelligence techniques such as natural language processing and machine learning to provide personalized suggestions and improve user efficiency.",Rejected,False,1,2026-03-10 16:49:31.530
94,259740,Online Learning and Assessment Platform,"This project aims to create a web-based platform that delivers educational content and conducts assessments online. It includes features such as user authentication, course management, quizzes, and performance tracking to enhance remote learning and evaluate student progress effectively.",Rejected,False,1,2026-03-10 16:49:31.530
95,259651,Smart Resource Management System,"This project focuses on designing a digital system that efficiently monitors, allocates, and optimizes the use of resources such as time, energy, or materials. By using data analysis and automation, the system helps reduce waste, improve productivity, and support informed decision-making.",Rejected,False,1,2026-03-12 22:21:13.153
96,259651,AI-Powered Personal Assistant Application,"This project involves developing an intelligent assistant that helps users manage daily tasks, schedules, and reminders. The application leverages artificial intelligence techniques such as natural language processing and machine learning to provide personalized suggestions and improve user efficiency.",Rejected,False,1,2026-03-12 22:21:13.163
97,259651,Online Learning and Assessment Platform,"This project aims to create a web-based platform that delivers educational content and conducts assessments online. It includes features such as user authentication, course management, quizzes, and performance tracking to enhance remote learning and evaluate student progress effectively.",Approved,False,1,2026-03-12 22:21:13.163
